State,District,Year,Cashewnut_Area_Hectare,Cashewnut_Production_Tonnes,Cashewnut_Yield_Tonne_Hectare,Coconut_Area_Hectare,Coconut_Production_Nuts,Coconut_Yield_Nuts_Hectare,Ginger_Area_Hectare,Ginger_Production_Tonnes,Ginger_Yield_Tonne_Hectare,Sugarcane_Area_Hectare,Sugarcane_Production_Tonnes,Sugarcane_Yield_Tonne_Hectare,Sweet_potato_Area_Hectare,Sweet_potato_Production_Tonnes,Sweet_potato_Yield_Tonne_Hectare,Arecanut_Area_Hectare,Arecanut_Production_Tonnes,Arecanut_Yield_Tonne_Hectare,Banana_Area_Hectare,Banana_Production_Tonnes,Banana_Yield_Tonne_Hectare,Black_pepper_Area_Hectare,Black_pepper_Production_Tonnes,Black_pepper_Yield_Tonne_Hectare,Dry_chillies_Area_Hectare,Dry_chillies_Production_Tonnes,Dry_chillies_Yield_Tonne_Hectare,other_oilseeds_Area_Hectare,other_oilseeds_Production_Tonnes,other_oilseeds_Yield_Tonne_Hectare,Coriander_Area_Hectare,Coriander_Production_Tonnes,Coriander_Yield_Tonne_Hectare,Tobacco_Area_Hectare,Tobacco_Production_Tonnes,Tobacco_Yield_Tonne_Hectare,Turmeric_Area_Hectare,Turmeric_Production_Tonnes,Turmeric_Yield_Tonne_Hectare,Bhindi_Area_Hectare,Bhindi_Production_Tonnes,Bhindi_Yield_Tonne_Hectare,Brinjal_Area_Hectare,Brinjal_Production_Tonnes,Brinjal_Yield_Tonne_Hectare,Citrus_Fruit_Area_Hectare,Citrus_Fruit_Production_Tonnes,Citrus_Fruit_Yield_Tonne_Hectare,Cucumber_Area_Hectare,Cucumber_Production_Tonnes,Cucumber_Yield_Tonne_Hectare,Grapes_Area_Hectare,Grapes_Production_Tonnes,Grapes_Yield_Tonne_Hectare,Mango_Area_Hectare,Mango_Production_Tonnes,Mango_Yield_Tonne_Hectare,Orange_Area_Hectare,Orange_Production_Tonnes,Orange_Yield_Tonne_Hectare,Other_Fresh_Fruits_Area_Hectare,Other_Fresh_Fruits_Production_Tonnes,Other_Fresh_Fruits_Yield_Tonne_Hectare,Other_Vegetables_Area_Hectare,Other_Vegetables_Production_Tonnes,Other_Vegetables_Yield_Tonne_Hectare,Papaya_Area_Hectare,Papaya_Production_Tonnes,Papaya_Yield_Tonne_Hectare,Pome_Fruit_Area_Hectare,Pome_Fruit_Production_Tonnes,Pome_Fruit_Yield_Tonne_Hectare,Potato_Area_Hectare,Potato_Production_Tonnes,Potato_Yield_Tonne_Hectare,Tomato_Area_Hectare,Tomato_Production_Tonnes,Tomato_Yield_Tonne_Hectare,Cabbage_Area_Hectare,Cabbage_Production_Tonnes,Cabbage_Yield_Tonne_Hectare,Peas_vegetable_Area_Hectare,Peas_vegetable_Production_Tonnes,Peas_vegetable_Yield_Tonne_Hectare,Tapioca_Area_Hectare,Tapioca_Production_Tonnes,Tapioca_Yield_Tonne_Hectare,Bottle_Gourd_Area_Hectare,Bottle_Gourd_Production_Tonnes,Bottle_Gourd_Yield_Tonne_Hectare,Oilseeds_total_Area_Hectare,Oilseeds_total_Production_Tonnes,Oilseeds_total_Yield_Tonne_Hectare,Pulses_total_Area_Hectare,Pulses_total_Production_Tonnes,Pulses_total_Yield_Tonne_Hectare,Onion_Area_Hectare,Onion_Production_Tonnes,Onion_Yield_Tonne_Hectare,Pineapple_Area_Hectare,Pineapple_Production_Tonnes,Pineapple_Yield_Tonne_Hectare,Garlic_Area_Hectare,Garlic_Production_Tonnes,Garlic_Yield_Tonne_Hectare,Sannhamp_Area_Hectare,Sannhamp_Production_Tonnes,Sannhamp_Yield_Tonne_Hectare,Guar_seed_Area_Hectare,Guar_seed_Production_Tonnes,Guar_seed_Yield_Tonne_Hectare,Turnip_Area_Hectare,Turnip_Production_Tonnes,Turnip_Yield_Tonne_Hectare,Carrot_Area_Hectare,Carrot_Production_Tonnes,Carrot_Yield_Tonne_Hectare,Redish_Area_Hectare,Redish_Production_Tonnes,Redish_Yield_Tonne_Hectare,Arcanut_Processed_Area_Hectare,Arcanut_Processed_Production_Tonnes,Arcanut_Processed_Yield_Tonne_Hectare,Atcanut_Raw_Area_Hectare,Atcanut_Raw_Production_Tonnes,Atcanut_Raw_Yield_Tonne_Hectare,Peas_&_beans_Pulses_Area_Hectare,Peas_&_beans_Pulses_Production_Tonnes,Peas_&_beans_Pulses_Yield_Tonne_Hectare,Cashewnut_Processed_Area_Hectare,Cashewnut_Processed_Production_Tonnes,Cashewnut_Processed_Yield_Tonne_Hectare,Cashewnut_Raw_Area_Hectare,Cashewnut_Raw_Production_Tonnes,Cashewnut_Raw_Yield_Tonne_Hectare,Cardamom_Area_Hectare,Cardamom_Production_Tonnes,Cardamom_Yield_Tonne_Hectare,Rubber_Area_Hectare,Rubber_Production_Tonnes,Rubber_Yield_Tonne_Hectare,Bitter_Gourd_Area_Hectare,Bitter_Gourd_Production_Tonnes,Bitter_Gourd_Yield_Tonne_Hectare,Drum_Stick_Area_Hectare,Drum_Stick_Production_Tonnes,Drum_Stick_Yield_Tonne_Hectare,Jack_Fruit_Area_Hectare,Jack_Fruit_Production_Tonnes,Jack_Fruit_Yield_Tonne_Hectare,Snak_Guard_Area_Hectare,Snak_Guard_Production_Tonnes,Snak_Guard_Yield_Tonne_Hectare,Tea_Area_Hectare,Tea_Production_Tonnes,Tea_Yield_Tonne_Hectare,Coffee_Area_Hectare,Coffee_Production_Tonnes,Coffee_Yield_Tonne_Hectare,Cauliflower_Area_Hectare,Cauliflower_Production_Tonnes,Cauliflower_Yield_Tonne_Hectare,Other_Citrus_Fruit_Area_Hectare,Other_Citrus_Fruit_Production_Tonnes,Other_Citrus_Fruit_Yield_Tonne_Hectare,Water_Melon_Area_Hectare,Water_Melon_Production_Tonnes,Water_Melon_Yield_Tonne_Hectare,Ash_Gourd_Area_Hectare,Ash_Gourd_Production_Tonnes,Ash_Gourd_Yield_Tonne_Hectare,Beet_Root_Area_Hectare,Beet_Root_Production_Tonnes,Beet_Root_Yield_Tonne_Hectare,Lab-Lab_Area_Hectare,Lab-Lab_Production_Tonnes,Lab-Lab_Yield_Tonne_Hectare,Pome_Granet_Area_Hectare,Pome_Granet_Production_Tonnes,Pome_Granet_Yield_Tonne_Hectare,Ribed_Guard_Area_Hectare,Ribed_Guard_Production_Tonnes,Ribed_Guard_Yield_Tonne_Hectare,Yam_Area_Hectare,Yam_Production_Tonnes,Yam_Yield_Tonne_Hectare,Apple_Area_Hectare,Apple_Production_Tonnes,Apple_Yield_Tonne_Hectare,Peach_Area_Hectare,Peach_Production_Tonnes,Peach_Yield_Tonne_Hectare,Pear_Area_Hectare,Pear_Production_Tonnes,Pear_Yield_Tonne_Hectare,Plums_Area_Hectare,Plums_Production_Tonnes,Plums_Yield_Tonne_Hectare,Litchi_Area_Hectare,Litchi_Production_Tonnes,Litchi_Yield_Tonne_Hectare,Ber_Area_Hectare,Ber_Production_Tonnes,Ber_Yield_Tonne_Hectare,Other_Dry_Fruit_Area_Hectare,Other_Dry_Fruit_Production_Tonnes,Other_Dry_Fruit_Yield_Tonne_Hectare,Jute_&_mesta_Area_Hectare,Jute_&_mesta_Production_Tonnes,Jute_&_mesta_Yield_Tonne_Hectare,Sesamum_Area_Hectare,Sesamum_Production_Tonnes,Sesamum_Yield_Tonne_Hectare,Groundnut_Area_Hectare,Groundnut_Production_Tonnes,Groundnut_Yield_Tonne_Hectare,Sunflower_Area_Hectare,Sunflower_Production_Tonnes,Sunflower_Yield_Tonne_Hectare,Cottonlint_Area_Hectare,Cottonlint_Production_Bales,Cottonlint_Yield_Bales_Hectare,Mesta_Area_Hectare,Mesta_Production_Bales,Mesta_Yield_Bales_Hectare,Small_millets_Area_Hectare,Small_millets_Production_Tonnes,Small_millets_Yield_Tonne_Hectare,Arhar_Tur_Area_Hectare,Arhar_Tur_Production_Tonnes,Arhar_Tur_Yield_Tonne_Hectare,Bajra_Area_Hectare,Bajra_Production_Tonnes,Bajra_Yield_Tonne_Hectare,Castor_seed_Area_Hectare,Castor_seed_Production_Tonnes,Castor_seed_Yield_Tonne_Hectare,Gram_Area_Hectare,Gram_Production_Tonnes,Gram_Yield_Tonne_Hectare,Linseed_Area_Hectare,Linseed_Production_Tonnes,Linseed_Yield_Tonne_Hectare,Maize_Area_Hectare,Maize_Production_Tonnes,Maize_Yield_Tonne_Hectare,Rice_Area_Hectare,Rice_Production_Tonnes,Rice_Yield_Tonne_Hectare,Soyabean_Area_Hectare,Soyabean_Production_Tonnes,Soyabean_Yield_Tonne_Hectare,Wheat_Area_Hectare,Wheat_Production_Tonnes,Wheat_Yield_Tonne_Hectare,Barley_Area_Hectare,Barley_Production_Tonnes,Barley_Yield_Tonne_Hectare,Khesari_Area_Hectare,Khesari_Production_Tonnes,Khesari_Yield_Tonne_Hectare,Masoor_Area_Hectare,Masoor_Production_Tonnes,Masoor_Yield_Tonne_Hectare,Niger_seed_Area_Hectare,Niger_seed_Production_Tonnes,Niger_seed_Yield_Tonne_Hectare,Rapeseed_&Mustard_Area_Hectare,Rapeseed_&Mustard_Production_Tonnes,Rapeseed_&Mustard_Yield_Tonne_Hectare,Ragi_Area_Hectare,Ragi_Production_Tonnes,Ragi_Yield_Tonne_Hectare,Safflower_Area_Hectare,Safflower_Production_Tonnes,Safflower_Yield_Tonne_Hectare,Jowar_Area_Hectare,Jowar_Production_Tonnes,Jowar_Yield_Tonne_Hectare,MoongGreen_Gram_Area_Hectare,MoongGreen_Gram_Production_Tonnes,MoongGreen_Gram_Yield_Tonne_Hectare,Urad_Area_Hectare,Urad_Production_Tonnes,Urad_Yield_Tonne_Hectare,Horse-gram_Area_Hectare,Horse-gram_Production_Tonnes,Horse-gram_Yield_Tonne_Hectare,CowpeaLobia_Area_Hectare,CowpeaLobia_Yield_Tonne_Hectare,Total_foodgrain_Area_Hectare,Total_foodgrain_Production_Tonnes,Total_foodgrain_Yield_Tonne_Hectare
14. Karnataka,16. Hassan,2004 - 2005,,,,61098,253683000,4152.07,,,,,,,68,414,6.09,3483,3403,0.98,2728,14649,5.37,1648,1811,1.1,2261,4306,1.9,,,,171,21,0.12,7876,6487,0.82,81,385,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36151,183135,5.07,,,,,,,,,,,,,,,,,,,,,,107,624,5.83,,,,17,45,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7555,366,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,17. Haveri,2001 - 2002,,,,1297,6193000,4774.87,,,,5763,454413,78.85,,,,507,708,1.4,,,,,,,42720,20270,0.47,,,,322,33,0.1,,,,5,26,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4512,14019,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,275,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,17. Haveri,2002 - 2003,,,,1852,8843000,4774.84,,,,3391,125637,37.05,,,,,,,1501,38304,25.52,,,,29606,9940,0.34,,,,222,23,0.1,3,2,0.67,1,4,4,,,,510,1926,3.78,37,642,17.35,,,,,,,994,8067,8.12,,,,306,961,3.14,,,,15,39,2.6,87,228,2.62,14,28,2,1281,4679,3.65,,,,,,,,,,,,,,,,,,,7809,10550,1.35,,,,2208,1281,0.58,6,1,0.17,,,,,,,,,,,,,721,1007,1.4,721,4856,6.74,,,,16,1,0.06,16,3,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,17. Haveri,2003 - 2004,,,,1229,5868000,4774.61,,,,2246,98150,43.7,,,,634,886,1.4,862,35231,40.87,,,,12265,15662,1.28,,,,237,24,0.1,5,3,0.6,1,5,5,,,,567,3162,5.58,21,332,15.81,,,,,,,613,4276,6.98,,,,167,444,2.66,,,,,,,130,69,0.53,1,5,5,1486,5520,3.71,,,,,,,,,,,,,,,,,,,6568,20412,3.11,,,,1189,690,0.58,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,17. Haveri,2004 - 2005,,,,1147,5477000,4775.07,,,,,,,,,,717,1002,1.4,942,36550,38.8,,,,24901,11794,0.47,,,,177,18,0.1,7,5,0.71,3,14,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,,,,,,,,,,,,,,,,,,,,,,10372,53516,5.16,,,,1605,931,0.58,2,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,18. Kodagu,2001 - 2002,,,,1338,6393000,4778.03,,,,,,,,,,1230,1721,1.4,,,,4112,11683,2.84,202,235,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,18. Kodagu,2002 - 2003,,,,1285,6139000,4777.43,,,,,,,10,62,6.2,,,,613,8188,13.36,4167,11840,2.84,423,1959,4.63,,,,,,,375,270,0.72,,,,,,,19,134,7.05,61,354,5.8,,,,,,,72,305,4.24,,,,24,75,3.13,,,,,,,31,190,6.13,,,,7,64,9.14,,,,,,,5,101,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1332,1863,1.4,1332,8970,6.73,,,,2126,312,0.15,2126,1250,0.59,8170,510,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,18. Kodagu,2003 - 2004,,,,1292,6173000,4777.86,,,,,,,10,62,6.2,1344,1880,1.4,164,510,3.11,4210,11962,2.84,180,984,5.47,,,,,,,305,172,0.56,,,,,,,11,87,7.91,53,838,15.81,,,,,,,38,108,2.84,,,,26,69,2.65,,,,,,,21,116,5.52,,,,7,52,7.43,,,,,,,7,141,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8165,509,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,18. Kodagu,2004 - 2005,,,,1331,6359000,4777.61,,,,,,,12,75,6.25,1386,1939,1.4,547,9767,17.86,5403,15352,2.84,224,1121,5,,,,,,,300,221,0.74,8,38,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,181,20.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8267,516,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,19. Kolar,2001 - 2002,,,,2101,7523000,3580.68,,,,1225,123358,100.7,,,,81,113,1.4,,,,,,,1782,2122,1.19,,,,56,6,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11834,214109,18.09,,,,,,,,,,,,,,,,,,,,,,1779,18154,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3784,21108,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,19. Kolar,2002 - 2003,,,,2101,7523000,3580.68,,,,1268,104800,82.65,,,,,,,1096,14701,13.41,,,,1101,2209,2.01,,,,57,6,0.11,,,,,,,,,,955,5296,5.55,72,1249,17.35,,,,1457,36402,24.98,40508,74818,1.85,,,,2026,4165,2.06,,,,274,489,1.78,1307,4152,3.18,5550,48176,8.68,7532,58006,7.7,,,,,,,,,,,,,,,,,,,1568,8929,5.69,,,,,,,,,,,,,,,,,,,,,,72,101,1.4,72,486,6.75,,,,2344,218,0.09,2344,856,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,19. Kolar,2003 - 2004,,,,2101,7523000,3580.68,,,,692,46018,66.5,,,,67,94,1.4,1366,42123,30.84,,,,1864,2858,1.53,,,,88,9,0.1,,,,,,,,,,326,2964,9.09,71,1123,15.82,,,,1275,36594,28.7,44718,77452,1.73,,,,1907,3150,1.65,,,,,,,1488,5312,3.57,5116,91056,17.8,6618,66553,10.06,,,,,,,,,,,,,,,,,,,1760,8616,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,19. Kolar,2004 - 2005,,,,2101,7523000,3580.68,,,,,,,,,,54,76,1.41,1101,7498,6.81,,,,1444,1332,0.92,,,,108,11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028,72607,18.03,,,,,,,,,,,,,,,,,,,,,,1507,17872,11.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,20. Koppal,2001 - 2002,,,,1098,5236000,4768.67,,,,1418,111809,78.85,,,,,,,,,,,,,521,260,0.5,,,,170,30,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,5212,8.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,20. Koppal,2002 - 2003,,,,492,2346000,4768.29,,,,668,41884,62.7,,,,,,,497,8510,17.12,,,,515,251,0.49,,,,150,26,0.17,,,,,,,,,,261,752,2.88,75,1301,17.35,,,,19,565,29.74,416,2165,5.2,,,,109,243,2.23,,,,15,33,2.2,34,208,6.12,,,,335,1913,5.71,,,,,,,,,,,,,,,,,,,488,3461,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,20. Koppal,2003 - 2004,,,,204,973000,4769.61,,,,,,,,,,,,,363,271,0.75,,,,1574,2575,1.64,,,,388,68,0.18,,,,,,,,,,119,437,3.67,82,1297,15.82,,,,40,1320,33,1246,5490,4.41,,,,69,118,1.71,,,,,,,21,39,1.86,,,,629,2444,3.89,,,,,,,,,,,,,,,,,,,593,4323,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,20. Koppal,2004 - 2005,,,,344,1640000,4767.44,,,,,,,,,,,,,3657,12445,3.4,,,,561,550,0.98,,,,824,144,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,50,16.67,,,,,,,,,,,,,,,,,,,,,,960,7733,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,21. Mandya,2001 - 2002,,,,17047,61076000,3582.8,,,,35063,4263661,121.6,,,,732,1023,1.4,,,,4,10,2.5,833,1899,2.28,,,,1,,0,,,,109,319,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,2137,19.43,,,,,,,,,,,,,,,,,,,,,,337,2646,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,2526,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,21. Mandya,2002 - 2003,,,,17882,64068000,3582.82,,,,29686,3356002,113.05,4,25,6.25,,,,1463,23642,16.16,2,5,2.5,608,711,1.17,,,,,,,,,,32,81,2.53,,,,626,4166,6.65,35,607,17.34,,,,,,,1014,7533,7.43,,,,362,1273,3.52,,,,23,33,1.43,108,83,0.77,150,2010,13.4,1852,10260,5.54,,,,,,,,,,,,,,,,,,,325,2537,7.81,,,,1,1,1,,,,,,,,,,,,,,,,804,1124,1.4,804,5415,6.74,,,,262,23,0.09,262,91,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,21. Mandya,2003 - 2004,,,,17985,64437000,3582.82,,,,13042,1474398,113.05,5,31,6.2,816,1141,1.4,752,9569,12.72,2,5,2.5,1063,1512,1.42,,,,,,,,,,19,28,1.47,,,,333,2356,7.08,35,554,15.83,,,,,,,2348,11618,4.95,,,,205,607,2.96,,,,,,,100,95,0.95,100,1474,14.74,1214,6613,5.45,,,,,,,,,,,,,,,,,,,243,2103,8.65,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,21. Mandya,2004 - 2005,,,,18165,65082000,3582.82,,,,,,,14,88,6.29,879,1229,1.4,1272,15496,12.18,2,5,2.5,612,430,0.7,,,,,,,,,,19,90,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,1196,10.4,,,,,,,,,,4,32,8,,,,,,,,,,414,3237,7.82,,,,3,2,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Karnataka,22. Mysore,2001 - 2002,,,,18765,50122000,2671.04,,,,11009,983104,89.3,,,,798,566,0.71,,,,20,51,2.55,1666,1573,0.94,,,,217,21,0.1,,,,691,2594,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,448,8.96,,,,,,,,,,,,,,,,,,,,,,5,21,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,763,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
